,Track Name,Track Links,Race Time,Race Number
134,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-6-2135929-1108297,Event Finished,6
135,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-7-2135935-1108297,Event Finished,7
136,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-8-2135941-1108297,Event Finished,8
137,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-9-2135945-1108297,Event Finished,9
138,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-10-2135950-1108297,Event Finished,10
139,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-11-2135956-1108297,Event Finished,11
140,TOWNSVILLE (QLD),https://getsetbet.com.au//racing/greyhounds/townsville/race-12-2135962-1108297,Event Finished,12
141,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-1-2136048-1108308,Event Finished,1
142,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-2-2136056-1108308,Event Finished,2
143,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-3-2136064-1108308,Event Finished,3
144,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-4-2136078-1108308,Event Finished,4
145,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-5-2136092-1108308,Event Finished,5
146,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-6-2136103-1108308,Event Finished,6
147,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-7-2136111-1108308,Event Finished,7
148,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-8-2136116-1108308,Event Finished,8
149,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-9-2136121-1108308,Event Finished,9
150,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-10-2136124-1108308,Event Finished,10
151,BULLI (NSW),https://getsetbet.com.au//racing/greyhounds/bulli/race-11-2136126-1108308,Event Finished,11
152,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-1-2134834-1108186,Event Finished,1
153,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-2-2134841-1108186,Event Finished,2
154,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-3-2134846-1108186,Event Finished,3
155,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-4-2134852-1108186,Event Finished,4
156,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-5-2134858-1108186,Event Finished,5
157,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-6-2134866-1108186,Event Finished,6
158,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-7-2134875-1108186,Event Finished,7
